age,gender,semester,study_hours,attendance,assignment_completion,previous_gpa,mock_test_score,sleep_hours,screen_time,stress_level,programming_practice_hours,class_participation,learning_style,final_gpa
24,Male,1,8.34,83,79,7.49,88,5.9,6.07,2,1.85,5,Auditory,8.02
20,Female,1,3.02,88,76,8.7,78,7.78,5.25,4,0.99,10,Kinesthetic,7.45
24,Female,4,3.01,90,73,5.95,66,4.09,6.22,7,3.11,3,Kinesthetic,5.81
23,Female,6,5.83,91,83,7.82,69,4.68,6.25,2,5.58,9,Reading,7.88
17,Male,5,6.34,99,99,8.89,83,5.82,2.38,8,5.34,1,Auditory,8.67
23,Male,7,6.22,72,73,8.25,88,4.54,1.0,10,5.52,3,Kinesthetic,7.63
21,Female,4,1.82,56,97,7.04,50,7.01,3.56,4,5.8,2,Kinesthetic,6.3
22,Male,6,8.9,88,87,7.6,46,4.25,7.43,9,0.99,2,Kinesthetic,7.13
24,Female,2,3.39,52,92,9.74,42,8.3,5.05,1,0.88,3,Visual,7.41
24,Male,5,2.17,61,74,7.69,55,7.81,6.09,7,2.57,10,Kinesthetic,6.03
24,Male,5,9.0,56,81,8.66,82,5.08,7.16,1,4.14,7,Kinesthetic,8.38
22,Female,6,9.6,98,58,8.35,42,6.42,7.34,10,2.64,6,Visual,7.58
17,Female,7,8.76,75,47,8.22,62,6.26,4.7,9,5.35,9,Auditory,7.54
19,Female,5,8.29,82,78,8.3,44,7.62,4.79,10,4.3,10,Reading,7.6
23,Male,6,6.9,86,72,6.91,86,6.01,6.96,10,3.8,10,Visual,7.02
18,Female,8,5.96,97,83,7.01,49,4.16,6.65,1,0.43,3,Visual,7.01
17,Female,2,1.78,64,100,6.98,38,5.37,5.89,3,1.05,5,Visual,5.78
20,Male,5,4.68,51,67,4.68,96,6.33,5.23,7,2.57,9,Kinesthetic,5.36
17,Male,8,4.35,90,76,5.78,38,8.87,5.32,1,5.86,3,Auditory,6.58
21,Male,7,3.34,56,87,5.32,75,8.41,3.54,5,2.01,8,Auditory,5.69
24,Male,6,7.51,81,64,9.2,89,4.91,6.89,6,3.78,9,Auditory,8.27
21,Male,6,5.46,53,75,5.96,62,7.62,5.32,3,5.93,7,Reading,6.39
18,Female,2,1.73,69,56,5.23,81,8.68,2.56,6,1.58,6,Auditory,5.27
19,Male,8,2.98,99,63,5.13,43,4.04,2.68,4,1.0,6,Reading,5.37
22,Female,1,7.15,85,60,8.21,36,7.6,7.03,6,3.28,6,Kinesthetic,7.23
21,Male,6,1.69,81,41,4.53,82,6.3,5.38,6,3.31,5,Auditory,4.9
20,Male,8,8.66,77,70,7.0,62,7.4,3.79,4,5.53,7,Reading,7.69
23,Male,6,5.46,62,83,5.13,48,7.03,2.31,1,0.16,7,Kinesthetic,5.83
18,Male,5,5.33,50,72,9.0,80,8.92,5.27,3,2.44,7,Kinesthetic,7.66
21,Female,4,6.33,84,69,9.58,47,5.44,2.29,10,1.87,3,Reading,7.6
20,Female,3,8.42,97,51,9.58,50,7.93,4.29,7,3.43,6,Kinesthetic,8.4
22,Female,2,4.13,79,83,6.84,74,5.17,5.74,2,0.06,9,Kinesthetic,6.62
17,Male,1,7.1,85,51,7.92,64,6.18,4.96,4,4.27,9,Auditory,7.57
24,Female,7,6.09,74,90,7.68,99,8.88,7.45,6,2.91,4,Reading,7.71
22,Female,1,3.4,65,96,6.36,92,7.83,1.28,5,4.2,9,Kinesthetic,6.84
20,Female,3,8.91,68,88,6.85,82,5.58,2.96,6,2.69,2,Visual,7.53
22,Female,5,8.18,50,91,4.84,83,7.1,1.4,5,2.85,8,Visual,6.48
18,Female,7,6.93,54,63,8.72,36,4.25,2.36,9,5.37,2,Kinesthetic,6.96
21,Male,4,8.66,100,63,5.78,48,5.33,1.87,2,1.27,5,Auditory,7.02
19,Male,3,8.81,71,97,6.94,51,7.59,6.13,4,1.3,6,Visual,7.31
19,Male,5,7.38,73,99,7.05,65,6.85,3.59,1,3.36,2,Auditory,7.76
24,Male,6,8.53,92,50,7.47,44,6.35,7.48,7,3.96,9,Kinesthetic,7.15
20,Female,7,7.28,94,52,8.83,71,7.45,1.16,1,2.13,6,Reading,8.49
20,Female,5,7.12,86,66,8.17,98,5.99,5.57,6,3.12,8,Kinesthetic,7.99
24,Female,2,6.57,85,47,8.01,64,4.13,7.79,10,1.37,4,Kinesthetic,6.61
20,Female,4,7.77,85,49,7.29,68,6.21,2.23,10,0.82,3,Visual,6.85
21,Male,4,2.43,53,47,5.01,52,8.51,4.1,9,1.43,4,Reading,4.33
24,Female,2,8.93,85,59,6.63,97,8.28,5.91,2,5.5,1,Auditory,8.1
19,Female,5,8.85,67,47,9.57,83,6.04,5.43,1,4.81,1,Auditory,8.77
19,Female,5,1.26,99,48,9.78,90,4.11,4.96,10,0.84,8,Reading,7.05
18,Female,7,8.43,65,46,8.37,92,7.18,3.29,3,0.28,1,Auditory,7.86
18,Male,4,2.16,90,53,5.71,61,7.71,6.1,6,0.56,5,Visual,5.33
17,Female,4,4.02,67,67,5.04,89,5.47,5.57,7,1.76,10,Kinesthetic,5.44
21,Male,4,7.69,71,41,6.7,53,6.38,2.14,8,4.87,9,Auditory,6.57
20,Male,4,2.45,51,96,9.04,57,8.96,7.75,4,1.93,3,Visual,6.93
18,Female,5,8.36,70,82,8.33,81,6.88,4.89,8,1.11,10,Auditory,7.77
17,Male,4,8.49,85,47,9.18,100,5.76,4.68,7,2.38,2,Visual,8.41
17,Male,6,5.57,93,52,7.76,85,7.14,6.94,8,0.74,5,Auditory,7.01
19,Female,5,1.06,88,60,5.19,62,4.9,5.48,5,2.82,2,Auditory,5.09
21,Female,2,3.58,96,86,5.11,91,5.0,1.52,10,4.05,10,Reading,6.15
21,Male,6,6.55,88,67,4.75,92,8.62,4.55,7,2.21,1,Reading,6.35
22,Female,1,9.83,78,74,7.51,49,5.2,6.46,4,1.04,9,Visual,7.45
20,Female,2,6.69,75,62,5.79,50,5.55,5.9,1,2.72,10,Reading,6.34
24,Male,2,3.34,70,85,8.39,81,6.72,7.8,3,4.57,9,Kinesthetic,7.43
21,Male,3,6.71,66,54,8.14,97,8.5,1.17,10,0.46,1,Reading,7.28
22,Male,8,5.86,65,41,6.19,46,7.91,2.83,9,0.43,4,Visual,5.46
24,Female,2,8.02,80,100,5.44,77,4.22,4.84,4,1.91,5,Reading,6.9
20,Male,7,1.96,100,90,5.04,63,7.47,5.34,5,2.49,2,Visual,5.79
21,Female,3,7.85,58,51,8.41,83,6.52,2.92,3,1.3,9,Kinesthetic,7.68
24,Male,8,5.87,80,96,6.89,37,6.38,6.79,6,0.16,9,Visual,6.4
24,Male,3,9.67,63,91,6.21,94,7.46,2.15,4,1.32,9,Visual,7.63
19,Male,3,4.08,98,75,9.04,100,4.98,1.01,5,2.61,8,Kinesthetic,8.29
22,Male,6,6.69,86,42,7.65,60,8.91,7.67,7,0.48,6,Kinesthetic,6.76
17,Female,8,9.39,51,44,7.25,81,7.23,3.74,7,4.3,1,Visual,7.19
21,Male,8,1.92,97,42,8.44,76,5.83,7.7,9,3.31,10,Auditory,6.55
23,Female,2,9.44,95,96,8.82,65,7.0,2.95,2,2.61,5,Auditory,9.13
21,Female,1,7.19,63,86,8.14,56,5.08,1.44,4,3.11,8,Visual,7.6
19,Female,7,1.61,82,58,6.83,51,7.17,6.41,8,3.93,4,Reading,5.64
18,Male,6,3.71,84,41,6.51,54,4.14,6.85,4,5.97,8,Visual,6.05
20,Female,3,7.37,88,83,8.59,42,5.71,4.44,3,4.65,6,Visual,8.12
24,Female,8,1.61,96,76,7.24,83,7.74,1.52,10,3.24,1,Reading,6.63
18,Male,8,6.24,100,93,8.23,72,8.04,5.58,6,4.62,1,Kinesthetic,8.25
17,Male,7,4.11,69,56,9.22,87,5.26,2.28,3,2.85,3,Visual,7.72
18,Male,4,6.59,51,53,9.35,62,6.7,6.95,2,1.87,1,Auditory,7.5
24,Male,4,1.41,100,67,5.97,63,6.64,2.92,9,1.57,4,Kinesthetic,5.58
23,Female,5,8.84,90,66,5.5,45,6.11,6.93,3,2.4,3,Kinesthetic,6.62
23,Male,4,9.76,68,93,5.88,81,5.14,3.99,1,0.01,7,Visual,7.36
17,Male,4,9.72,86,49,8.48,79,7.52,5.18,9,1.06,9,Auditory,7.92
20,Male,3,7.75,67,42,6.46,52,5.26,6.53,5,0.76,7,Reading,6.06
19,Male,6,2.17,65,75,5.42,84,8.56,1.28,7,5.76,5,Reading,5.91
23,Male,8,7.82,53,77,5.02,83,6.64,6.75,2,0.39,1,Reading,6.18
23,Female,8,1.22,61,95,6.23,56,8.35,1.97,1,3.01,5,Auditory,6.07
17,Female,2,1.2,78,64,5.22,79,5.45,3.51,6,5.52,1,Kinesthetic,5.48
20,Male,6,3.91,56,61,5.33,95,8.04,4.31,5,3.65,6,Kinesthetic,5.86
22,Male,6,5.4,63,87,8.12,55,4.57,7.27,10,2.97,8,Visual,6.58
19,Female,7,7.93,61,78,4.6,95,7.83,1.16,6,4.46,7,Kinesthetic,6.62
18,Male,4,7.15,84,86,5.12,70,5.93,4.91,2,2.12,1,Kinesthetic,6.68
18,Female,8,5.01,54,69,8.98,58,6.35,5.5,7,1.16,8,Reading,6.84
17,Female,2,3.46,66,60,8.98,66,4.83,3.22,1,5.08,9,Reading,7.5
21,Female,1,9.97,91,69,6.24,93,4.09,3.03,8,0.34,10,Reading,7.33
22,Female,7,4.84,81,67,4.97,39,7.33,4.43,7,4.85,2,Kinesthetic,5.55
21,Male,6,5.06,59,70,8.24,50,6.94,2.31,7,0.62,1,Visual,6.62
22,Male,6,2.47,92,96,6.41,45,7.11,4.28,6,3.75,6,Kinesthetic,6.27
19,Male,4,8.15,66,91,4.74,69,5.28,6.36,10,2.86,4,Visual,5.87
24,Male,1,7.24,54,65,5.34,76,5.2,6.92,5,5.99,7,Kinesthetic,6.19
18,Male,7,2.99,94,82,5.23,44,8.15,3.7,9,2.33,3,Auditory,5.46
20,Female,1,1.74,91,61,7.62,42,7.81,5.32,3,5.74,3,Kinesthetic,6.65
22,Female,5,7.12,58,60,9.26,60,5.68,1.0,9,2.42,8,Auditory,7.45
19,Male,8,6.89,98,40,8.7,37,7.19,4.85,5,4.09,7,Visual,7.61
17,Female,2,3.46,82,76,7.4,93,8.14,7.83,8,3.86,5,Kinesthetic,6.9
22,Female,2,9.56,85,52,6.74,37,8.44,3.19,3,0.52,3,Kinesthetic,7.12
17,Female,5,2.36,85,60,7.78,72,4.03,5.16,7,4.46,1,Visual,6.53
19,Female,7,4.89,67,85,6.85,36,8.07,6.34,10,1.25,3,Reading,5.8
20,Male,3,9.49,58,48,5.8,51,5.75,5.26,4,2.33,9,Reading,6.27
18,Male,8,4.78,78,56,8.1,70,7.59,3.93,5,4.69,1,Auditory,7.32
18,Female,7,6.75,99,86,9.13,36,5.86,2.07,4,5.67,5,Kinesthetic,8.48
20,Female,8,4.58,63,60,6.48,68,7.03,4.25,9,3.36,4,Reading,5.92
18,Male,5,3.47,74,70,8.96,61,7.23,3.06,7,3.12,6,Visual,7.2
22,Male,7,9.86,64,78,6.78,71,6.02,5.87,6,3.03,2,Visual,7.31
24,Male,6,4.68,55,98,6.63,56,6.56,4.09,6,4.9,4,Kinesthetic,6.44
21,Male,5,9.05,91,93,4.65,48,7.63,6.95,10,5.96,9,Auditory,6.47
21,Female,8,3.07,78,61,8.18,57,6.38,2.35,7,3.8,5,Visual,6.74
20,Female,5,2.92,64,51,8.78,78,4.07,3.92,5,2.27,8,Kinesthetic,6.76
23,Female,1,1.28,78,94,8.02,99,4.06,4.9,10,1.31,2,Auditory,6.55
24,Male,8,6.87,53,45,5.3,95,7.31,1.88,3,1.19,9,Reading,6.18
24,Female,7,4.32,67,92,5.05,89,8.24,5.12,3,5.14,7,Kinesthetic,6.45
21,Male,7,8.78,99,55,7.54,84,7.93,3.04,7,5.95,7,Auditory,8.28
22,Female,2,5.26,98,65,6.63,46,5.55,2.61,10,4.19,2,Visual,6.41
19,Female,3,9.71,93,44,6.77,49,6.36,1.99,1,5.73,8,Reading,7.85
18,Male,4,2.67,88,48,9.63,51,5.17,3.45,4,2.1,9,Visual,7.23
22,Male,4,8.82,65,85,8.34,68,8.95,7.5,10,3.77,10,Visual,7.73
19,Female,4,7.99,60,79,6.68,69,5.3,1.22,8,3.07,5,Reading,6.87
20,Female,3,7.94,63,53,4.6,73,6.08,6.97,4,2.89,3,Kinesthetic,5.83
24,Female,4,8.6,52,83,4.68,89,7.41,3.78,1,3.79,3,Kinesthetic,6.79
22,Male,3,7.85,100,81,8.13,93,8.38,4.93,5,1.86,6,Kinesthetic,8.52
22,Male,4,6.64,99,69,8.94,39,4.26,4.59,1,3.84,1,Visual,8.13
23,Male,4,2.18,91,91,8.25,64,5.51,7.48,9,4.04,10,Visual,6.82
21,Male,3,1.29,87,91,6.65,38,6.84,6.39,8,5.02,9,Kinesthetic,5.82
19,Female,2,9.29,94,65,4.67,49,7.09,7.89,7,4.38,6,Kinesthetic,6.32
19,Male,6,6.55,91,92,9.63,69,4.35,6.56,5,1.92,9,Reading,8.38
23,Female,6,8.17,67,84,9.73,89,7.32,3.07,4,2.7,3,Visual,8.94
17,Male,3,5.33,69,68,7.41,100,6.64,7.74,7,0.72,10,Auditory,6.8
24,Female,8,2.06,97,58,4.87,94,8.14,7.88,3,1.54,3,Kinesthetic,5.73
19,Male,3,2.13,74,86,7.37,58,5.11,1.86,8,3.13,10,Kinesthetic,6.24
21,Female,5,7.17,87,47,9.23,56,4.98,7.31,5,0.6,7,Visual,7.55
18,Male,1,4.87,62,62,8.1,78,7.97,5.65,5,3.42,7,Kinesthetic,7.11
23,Female,7,2.8,53,92,8.32,66,7.52,7.45,1,2.34,4,Kinesthetic,6.95
18,Male,1,5.42,63,81,4.95,85,7.96,7.41,10,0.21,8,Visual,5.4
18,Female,2,1.58,82,74,5.06,37,7.91,7.24,8,2.61,2,Kinesthetic,4.73
21,Male,2,6.24,77,70,5.17,66,4.52,7.2,7,1.69,1,Reading,5.68
18,Male,2,3.42,86,92,9.29,36,5.39,1.82,1,0.4,1,Auditory,7.6
22,Female,1,8.18,57,74,7.29,93,5.3,2.0,4,1.76,2,Visual,7.51
23,Female,2,3.79,93,71,8.7,48,8.67,1.82,4,1.76,6,Reading,7.5
22,Male,6,5.1,83,97,5.11,85,6.44,1.64,9,2.13,8,Visual,6.25
23,Male,2,1.1,93,44,9.42,45,4.56,3.47,10,2.2,3,Visual,6.38
18,Male,7,1.65,54,55,8.85,44,5.45,5.79,2,2.58,6,Visual,6.28
20,Male,8,4.53,54,56,5.69,92,8.36,3.48,4,0.55,8,Auditory,5.89
20,Male,8,5.32,80,71,9.13,68,8.24,6.04,10,0.03,9,Reading,7.27
17,Male,3,6.4,94,77,5.9,87,8.5,6.74,3,4.42,8,Auditory,7.33
22,Male,6,3.62,58,97,5.59,62,5.94,5.66,10,2.02,7,Visual,5.28
17,Female,6,7.25,91,71,5.9,52,7.21,4.26,5,3.68,4,Kinesthetic,6.79
19,Female,3,8.74,81,91,9.32,60,5.39,3.07,7,1.84,3,Auditory,8.42
19,Female,7,8.02,82,59,9.35,41,4.9,1.87,5,5.91,7,Kinesthetic,8.26
22,Female,1,1.36,52,87,6.24,79,4.11,4.46,5,1.89,1,Visual,5.48
22,Male,3,5.32,79,95,8.24,79,5.12,6.04,4,3.63,7,Kinesthetic,7.77
24,Male,2,1.94,99,41,8.08,69,7.02,4.84,9,1.32,6,Auditory,6.34
23,Male,3,3.18,61,59,8.77,86,8.52,6.05,6,3.11,3,Reading,7.07
19,Male,6,9.88,78,86,6.07,55,4.67,3.35,10,3.48,3,Kinesthetic,6.88
23,Male,5,2.28,52,57,7.2,62,8.59,1.47,6,1.1,2,Auditory,5.79
17,Male,3,5.49,75,40,8.04,78,5.73,6.4,6,0.74,1,Reading,6.74
18,Female,1,6.56,79,97,4.64,90,6.13,2.54,6,5.84,5,Visual,6.76
23,Male,2,7.32,58,68,6.5,44,5.82,5.31,1,5.36,7,Reading,6.76
19,Male,6,6.04,75,68,8.19,57,6.04,6.63,6,3.96,7,Visual,7.19
18,Male,6,1.09,51,58,5.84,82,5.3,1.97,4,5.17,6,Auditory,5.47
18,Male,2,3.94,52,83,9.58,86,7.49,5.19,2,0.57,10,Auditory,7.73
17,Male,1,5.66,95,79,4.66,49,7.79,5.83,6,4.38,6,Reading,6.01
24,Male,3,1.79,53,45,9.58,89,8.12,6.23,1,1.71,7,Auditory,7.17
23,Male,7,4.16,74,83,5.65,77,5.71,2.03,1,3.24,8,Auditory,6.55
20,Female,2,1.3,100,78,4.76,84,7.82,6.78,5,4.59,5,Visual,5.8
22,Female,2,1.71,62,89,6.05,40,7.19,1.66,6,0.2,1,Auditory,5.22
20,Female,5,4.57,88,93,8.67,67,8.79,4.64,2,4.17,7,Kinesthetic,8.22
21,Female,1,2.19,93,85,8.49,96,6.12,4.1,10,2.61,2,Visual,7.26
20,Male,6,6.11,84,47,5.61,89,8.96,2.55,8,2.64,5,Kinesthetic,6.42
19,Female,6,7.21,72,63,5.54,73,7.7,3.11,4,5.44,7,Reading,6.79
17,Female,7,8.21,58,59,7.91,46,7.88,2.15,4,5.16,7,Kinesthetic,7.49
18,Male,3,2.8,51,93,6.93,65,4.13,3.98,10,0.35,9,Auditory,5.47
17,Female,3,2.51,90,53,8.7,87,6.49,1.25,5,3.71,5,Reading,7.51
23,Male,2,1.94,93,44,4.63,68,6.64,7.22,10,2.62,6,Auditory,4.64
22,Female,4,6.73,80,80,7.74,75,4.2,2.14,4,0.71,10,Reading,7.49
24,Female,5,7.36,93,79,8.37,44,5.56,7.2,5,5.11,6,Reading,7.85
23,Female,5,1.28,96,73,9.76,86,8.78,7.05,10,0.43,1,Visual,7.32
21,Male,5,9.43,51,99,8.1,91,6.13,4.16,3,0.19,10,Kinesthetic,8.13
21,Male,6,1.47,81,55,5.73,37,4.93,4.48,8,1.19,7,Auditory,4.65
21,Female,2,5.87,67,84,5.07,91,6.57,3.11,6,1.82,10,Reading,6.21
18,Female,1,7.38,62,46,7.9,67,4.17,7.98,8,0.37,7,Visual,6.43
21,Male,1,8.84,95,55,7.27,41,6.58,5.7,5,3.85,4,Reading,7.39
22,Male,5,7.43,54,46,9.27,38,6.97,7.66,7,2.62,4,Kinesthetic,6.99
21,Female,6,8.22,91,66,8.35,73,5.79,3.9,10,2.47,6,Reading,7.77
21,Female,8,4.06,93,53,7.2,82,7.81,7.18,7,0.87,3,Kinesthetic,6.56
22,Female,8,8.33,59,53,6.64,50,4.68,4.14,6,2.63,10,Reading,6.36
22,Female,4,1.72,92,83,6.64,72,8.39,7.07,10,2.34,6,Kinesthetic,6.0
18,Male,7,9.05,74,72,5.7,38,8.78,1.92,4,2.3,4,Auditory,6.75
23,Female,7,5.93,83,72,4.59,38,4.01,5.46,6,1.31,10,Kinesthetic,5.22
24,Male,6,8.36,86,83,7.55,61,8.21,5.75,9,0.57,8,Kinesthetic,7.35
21,Male,4,5.07,79,59,5.63,51,6.53,5.59,4,1.56,5,Auditory,5.78
19,Male,8,6.79,56,92,5.6,88,6.31,4.13,6,4.0,8,Kinesthetic,6.61
24,Male,3,5.74,55,86,5.16,42,5.19,5.79,6,0.44,9,Reading,5.19
17,Male,4,7.58,52,75,5.5,87,6.24,2.68,3,2.29,4,Reading,6.59
21,Male,5,1.73,62,46,4.67,39,8.75,5.17,4,3.09,1,Reading,4.47
21,Male,3,1.54,52,71,8.07,81,5.05,4.88,3,5.78,10,Auditory,6.68
24,Male,5,3.22,75,87,6.63,74,4.9,3.23,3,5.06,7,Kinesthetic,6.76
17,Male,8,2.44,73,42,7.48,41,5.21,6.45,10,5.5,7,Kinesthetic,5.55
23,Female,6,8.85,55,78,7.88,46,6.76,1.57,4,4.92,5,Reading,7.68
21,Male,8,2.97,92,68,9.65,59,8.65,2.2,4,3.53,5,Kinesthetic,7.99
23,Female,6,9.78,98,63,4.86,62,6.87,4.3,6,5.16,1,Reading,6.96
22,Male,1,4.03,91,61,6.71,77,5.22,7.24,4,3.39,3,Reading,6.61
24,Male,5,2.64,61,45,5.8,81,6.2,5.03,6,2.15,1,Reading,5.28
23,Female,8,8.11,98,87,7.03,83,5.95,6.89,2,2.23,7,Auditory,8.02
21,Male,3,6.93,85,63,9.38,88,4.23,4.62,4,3.39,5,Visual,8.45
19,Male,5,5.48,51,79,8.34,52,6.55,6.5,2,4.86,4,Visual,7.23
23,Female,2,6.0,60,62,8.01,61,4.63,3.28,8,0.8,7,Kinesthetic,6.54
22,Female,6,7.47,88,93,6.84,40,8.21,6.71,9,0.24,9,Reading,6.68
20,Male,3,3.06,83,77,8.06,56,6.74,3.81,7,4.74,6,Visual,6.94
18,Male,4,9.97,75,49,4.67,93,8.22,4.91,6,3.89,9,Visual,6.73
24,Female,1,9.77,67,55,7.61,81,8.78,2.23,8,4.93,6,Kinesthetic,7.89
18,Male,4,6.85,70,50,7.44,66,8.72,7.44,4,5.86,10,Auditory,7.25
24,Male,5,2.8,85,71,6.34,35,4.5,5.91,10,1.51,9,Kinesthetic,5.17
17,Male,4,7.12,89,84,5.57,88,8.72,7.01,2,1.17,6,Kinesthetic,7.13
19,Female,3,1.65,95,100,8.78,80,7.98,2.46,4,2.05,9,Reading,7.82
23,Male,2,1.28,93,45,4.79,75,7.89,1.47,5,5.27,3,Auditory,5.54
18,Female,8,3.32,71,63,4.87,75,4.45,3.36,9,0.08,5,Kinesthetic,4.85
17,Male,4,5.16,79,72,6.83,42,4.9,4.62,5,0.06,5,Visual,6.13
17,Male,5,8.81,99,92,5.84,66,8.88,6.62,9,1.3,10,Visual,7.06
17,Male,4,7.54,92,90,8.45,64,5.07,3.78,9,2.26,8,Kinesthetic,7.86
18,Female,4,7.68,79,51,7.86,80,4.85,2.89,8,1.81,7,Reading,7.29
20,Female,7,4.83,57,95,8.59,86,5.81,3.61,5,4.95,2,Reading,7.77
17,Female,8,4.11,83,66,6.22,95,8.57,5.93,2,4.14,2,Kinesthetic,6.97
21,Male,3,4.34,96,77,8.42,47,6.38,3.35,5,5.03,7,Auditory,7.58
20,Male,7,9.89,58,57,9.07,74,8.6,7.85,1,2.3,10,Reading,8.42
20,Female,7,1.36,100,84,6.33,95,5.67,2.22,8,3.57,10,Visual,6.49
21,Female,5,8.8,69,78,6.3,78,5.13,6.27,2,3.09,4,Auditory,7.28
18,Female,7,6.21,89,94,9.27,96,6.48,5.12,7,2.85,6,Kinesthetic,8.57
18,Male,5,4.95,74,52,4.76,78,7.08,2.63,2,1.73,9,Auditory,5.85
23,Male,2,7.53,68,92,6.36,82,5.96,6.28,5,4.26,10,Reading,7.18
19,Female,7,5.38,54,79,5.13,93,5.73,4.13,10,3.14,4,Reading,5.67
23,Male,8,8.86,60,69,4.65,91,5.09,5.78,7,0.47,7,Visual,5.94
18,Male,3,9.11,64,92,5.1,45,5.38,5.64,6,0.0,9,Kinesthetic,5.98
19,Female,6,4.8,57,88,6.79,59,7.37,1.77,5,0.12,1,Auditory,6.32
17,Male,3,3.49,68,80,8.14,95,5.85,6.88,6,0.46,10,Auditory,6.89
18,Female,1,6.33,72,91,6.03,80,4.4,5.77,2,2.23,2,Auditory,6.83
18,Female,2,9.21,76,52,9.0,88,4.69,6.46,10,1.83,9,Auditory,7.85
23,Female,2,2.9,89,73,6.82,68,5.86,4.13,1,0.94,5,Visual,6.6
21,Female,5,6.61,81,75,9.63,41,8.62,2.37,1,3.09,4,Visual,8.49
17,Female,5,6.68,75,69,9.56,96,5.9,3.28,8,5.82,7,Visual,8.54
22,Male,8,7.6,76,100,8.6,91,4.3,7.31,3,0.96,5,Reading,8.26
22,Female,2,2.18,68,64,9.44,39,6.09,7.57,3,1.5,1,Visual,6.68
19,Female,3,7.44,99,41,8.25,69,7.34,4.37,9,2.77,9,Visual,7.56
17,Male,1,9.18,91,75,9.25,71,6.97,3.09,6,3.85,8,Kinesthetic,8.89
22,Male,8,2.62,78,57,5.75,94,5.39,6.11,4,3.6,3,Kinesthetic,5.96
20,Female,5,3.14,88,44,6.33,99,7.44,6.36,4,3.13,10,Kinesthetic,6.45
21,Female,1,9.74,90,58,8.49,50,7.15,6.71,7,4.42,3,Kinesthetic,8.06
20,Female,8,2.63,82,81,6.75,64,4.86,1.22,6,5.08,3,Visual,6.5
22,Female,2,8.69,68,57,8.94,76,4.81,1.07,2,5.99,7,Visual,8.63
19,Male,3,5.43,86,96,9.15,95,6.74,3.5,9,2.79,2,Reading,8.28
18,Female,1,3.23,68,71,6.09,82,7.3,2.07,2,5.97,9,Auditory,6.65
18,Female,6,8.84,82,60,8.86,96,8.81,6.63,8,4.38,4,Auditory,8.53
24,Female,4,5.01,96,49,5.32,98,6.11,4.73,4,3.94,7,Kinesthetic,6.55
18,Female,8,5.63,65,76,6.27,91,7.82,6.78,10,3.84,8,Reading,6.39
19,Male,8,4.23,72,88,7.25,80,4.58,2.24,1,5.46,5,Visual,7.45
20,Male,2,6.34,56,61,5.7,62,8.45,5.39,1,5.69,8,Auditory,6.49
24,Female,3,2.47,75,52,7.57,37,7.17,5.06,9,1.07,4,Kinesthetic,5.55
19,Female,2,4.52,81,94,7.57,71,7.15,3.38,4,2.96,10,Kinesthetic,7.4
24,Female,2,9.72,61,56,5.6,82,4.71,4.62,1,5.65,2,Auditory,7.16
19,Male,8,3.32,57,48,8.72,53,4.2,5.12,3,2.29,3,Auditory,6.47
20,Female,1,6.91,54,63,7.85,51,7.51,7.23,3,1.4,6,Auditory,6.82
22,Male,1,3.93,91,83,6.18,74,4.59,1.39,7,0.62,10,Visual,6.31
18,Male,4,7.96,77,53,5.73,84,4.63,6.76,6,3.58,6,Auditory,6.53
21,Female,5,2.18,54,85,9.16,63,4.94,7.86,8,4.2,7,Reading,6.64
24,Male,4,9.73,98,47,8.93,85,4.49,6.12,7,1.17,4,Reading,8.31
19,Male,6,5.08,75,94,5.72,76,7.13,6.16,1,4.04,8,Auditory,6.83
19,Female,8,3.12,54,76,4.69,63,6.11,2.53,3,5.4,8,Visual,5.42
20,Female,3,1.66,71,58,8.76,100,5.33,4.66,9,1.46,7,Kinesthetic,6.65
22,Male,7,2.53,64,67,7.76,51,6.2,5.94,4,0.73,3,Auditory,6.04
23,Male,3,5.68,62,85,5.03,65,8.22,5.22,3,5.01,3,Auditory,6.24
21,Male,2,4.03,77,80,7.61,86,8.64,3.7,5,5.5,2,Auditory,7.51
23,Female,1,8.46,82,69,6.9,73,6.44,7.58,8,1.29,7,Reading,6.98
19,Male,2,4.88,92,46,8.61,94,6.83,4.6,1,4.33,6,Reading,8.15
23,Female,5,3.24,72,98,5.61,85,5.29,7.79,2,3.55,7,Kinesthetic,6.28
17,Male,2,6.55,82,97,6.9,50,6.57,4.95,7,1.44,2,Visual,6.84
21,Female,6,7.36,92,65,5.33,48,7.74,6.55,1,4.94,4,Auditory,6.78
19,Male,3,2.5,67,79,9.57,76,6.46,6.19,5,2.82,1,Auditory,7.42
21,Male,6,2.51,99,85,8.63,85,5.51,5.63,10,4.2,2,Auditory,7.38
22,Female,3,1.33,79,93,8.4,58,6.91,1.1,8,1.81,7,Kinesthetic,6.72
23,Female,6,7.63,75,99,8.16,77,8.73,1.54,6,4.89,5,Auditory,8.43
17,Male,4,6.97,65,85,6.74,53,8.44,5.07,3,1.59,10,Reading,6.89
17,Male,7,5.27,62,50,9.39,95,7.85,7.38,7,2.19,3,Visual,7.53
21,Male,8,8.6,88,53,4.89,97,5.38,5.21,3,2.35,2,Reading,6.8
18,Male,6,8.25,82,60,8.76,60,5.21,2.65,5,1.24,3,Auditory,7.88
21,Female,2,6.27,75,47,5.64,69,8.19,3.24,7,5.25,4,Kinesthetic,6.3
